strain,BOX_NB,SPOT,MORPHOLOGY SUBSTRATE MYCELIUM,MORPHOLOGY AERIAL MYCELIUM/SPORES,"CATEGORY (1 THE FAST SPORULATERS, 2 THE SLOW)",RDP_NCBI_closest_hit,NCBI_taxid,SPECIES,NOTES,DOMAIN,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,MEDIUM,SAMPLE,SEQUENCING,NEEDED TO BE SEQUENCED/RESEQUENCED,SCREENED OR NOT (1 or 0),REASON FOR REMOVAL FROM COLLECTION (IF 0),not_screened
AL045,1,1,"yellow, darker in the center of colonies",light grey,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,AL,X,NA,1,NA,NA
AL058,1,2,"yellow, darker in some spots where colonies not defined",grey - dark grey,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,AL,X,1,1,NA,NA
AL067,1,3,"orange - red, darker in the center of colonies",light grey,Category 1,Streptomyces thermocarboxydus,59299,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,AL,X,NA,1,NA,NA
AL071,1,4,"yellow, darker in the center of colonies",grey - light grey,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AL,X,NA,1,NA,NA
AL074,1,5,yellow,grey - dark grey,Category 1,Streptomyces griseolus,1909,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AL,X,NA,1,NA,NA
AL083,1,6,yellow,dark grey,Category 1,Streptomyces globisporus,1908,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AL,X,NA,1,NA,NA
AR003,1,7,yellow,grey - light grey,Category 1,Streptomyces anulatus,1892,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,AR,X,NA,1,NA,NA
AR004,1,8,"grey, darker in some spots where colonies not defined",grey - light grey,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,AR,X,NA,1,NA,NA
AR006,1,9,yellow,light grey,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,AR,X,NA,1,NA,NA
AR011,1,11,yellow - grey,grey - light grey,Category 1,Streptomyces globisporus,1908,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,AR,X,NA,1,NA,NA
AR012,1,12,yellow - grey,grey,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,was only one strain AR012,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,AR,X,1,1,NA,NA
AR013,1,14,"white, dark grey in some spots where colonies not defined",grey - light grey,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,AR,X,NA,1,NA,NA
AR014,1,15,yellow - grey,dark grey,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,AR,X,1,1,NA,NA
