"strain","RDP_NCBI_closest_hit","Phylum","Class","Order","Family","Genus","Medium","Antibiotic","Sample","Cultivar","compartment"
"AL001","Curtobacterium citreum","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium","TSA",NA,"AL","Innovator","Leaf"
"AL002","Microbacterium trichotecenolyticum","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"AL","Innovator","Leaf"
"AL003","Rhodococcus erythropolis","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","TSA",NA,"AL","Innovator","Leaf"
"AL004","Bacillus sp.","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","TSA",NA,"AL","Innovator","Leaf"
"AL005","Acidovorax delafieldii","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","TSA",NA,"AL","Innovator","Leaf"
"AL006","Microbacterium keratanolyticum","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"AL","Innovator","Leaf"
"AL007","Bacillus niacini","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","TSA",NA,"AL","Innovator","Leaf"
"AL008",NA,NA,NA,NA,NA,NA,"TSA",NA,"AL","Innovator","Leaf"
"AL009","Frigoribacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Frigoribacterium","TSA",NA,"AL","Innovator","Leaf"
"AL010","Stenotrophomonas rhizophila","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","TSA",NA,"AL","Innovator","Leaf"
"AL011","Janibacter melonis","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Janibacter","TSA",NA,"AL","Innovator","Leaf"
"AL012","Janibacter melonis","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Janibacter","TSA",NA,"AL","Innovator","Leaf"
"AL013","Microbacterium testaceum","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"AL","Innovator","Leaf"
